original_text,noisy_codeword,snr_db
La communication numerique est au coeur de notre societe moderne,"[0.17221150727711765, -1.2934844342486715, 0.8190732660874618, 2.2176464367907456, -0.8960955315207363, 0.13683933042968888, 1.9964460855324697, 0.16997552330788035, -1.9755897832853795, -0.9003952414592188, -0.8434038022393731, -0.5201359090414763, -1.8441469690840537, 0.49354259143309487, 2.2318552577792317]",0.0
g,"[0.9207987552017808, -1.523063653880162, -0.9921738778386362, 1.173503156657134, 0.03669095222864527, -1.0637916753927439, -1.8194809898151783, 0.1000116639139752, 0.2694443022941193, -1.7829755035231551, 0.963612386018409, -0.3887641784783987, -1.3533113843667353, -1.3803747220811318, 1.7685523092381537]",5.0
MOp,"[1.017600051001616, -1.6293042127570856, 0.5359405439193035, 1.1395140594862871, -4.291317257233857, -1.1159208247131445, 1.8959820885441334, -0.6137872944234206, -2.460936234611239, -0.2888705678356396, -1.6931906656075668, -2.1075187252563694, -0.7316342903332844, -1.9271849863727857, 0.09391662067795681]",0.0
lkLrjk,"[1.2513690183734552, -2.9846148074314227, -0.07274791295866445, 0.5163023662265314, -0.5623956800927079, -2.070217628636166, 0.7398011049456004, 0.957027043790264, 0.6599048631633828, 1.198837626420851, 0.027689761998708318, 1.703439140916803, 1.3767573967989795, 2.4274653964734654, 1.1866258416596913]",1.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[0.47537156650846346, -1.1742072257834413, 0.21915144048505442, 1.6735420743932907, -1.9813167394737015, -1.1696890714060286, -0.41078122049543886, -0.8848445925536637, -1.036574258178062, -0.7218673458378295, -2.331386327159594, -1.8445865400472, -0.6530180707492537, -0.9058655276465458, -0.1128550168853375]",2.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[0.7313009181933341, -1.5326627376836546, 1.5739513808391363, 0.6189886438186478, -0.554758652205916, -0.7187274097493115, 0.8504109234869349, -0.14698747259655498, -0.07195513970970702, -0.48502621044052463, 0.614172435119432, -0.04359094960786691, -0.3868683046627882, -0.5940765886577235, 0.6311200323735554]",5.0
i,"[0.46113540263853614, 0.30869555399444293, -1.252980459261569, 1.593574682945635, -0.7195637413052711, 0.4693142193700842, 0.8683114057879606, -2.1065785754660693, -1.3479826472930632, -1.0441578666337967, -2.4309669740482063, -1.5111679713379436, 0.11662850408224323, 1.8601762319048674, 0.3668600648070679]",3.0
TIXf,"[0.5410829090638893, -0.6269167743339832, 1.8013500767079669, -1.4717460682419703, 0.13099709817506655, -2.8264767737073595, -0.5564631535247746, -1.3404803948208592, -0.06212512413361404, 0.13507350537149343, 2.3542966670740046, 1.6705703447999043, 1.2410317633601275, -0.7737881451094852, 1.1336540669434882]",3.0
La communication numerique est au coeur de notre societe moderne,"[2.008889921364899, -1.909773827495305, 0.7350340721854485, 2.0641528685342125, -0.8961897242738708, -2.3861324376852373, 1.0808645998307036, -1.6856947169731247, -0.7214383889255853, -0.771104454346066, -1.177220319531956, -1.3737409205715667, -1.175118074302662, -0.10603255276975843, 1.5886292617995914]",2.0
e,"[0.50224573207607, 0.17390338995131494, -1.6580996696972545, -0.38999250893321946, 0.5278483609563049, -1.5351313246535674, -0.9731892861133601, -0.7782866874813124, -1.0780868140409932, -1.0903867412691592, 2.5253051740520576, -1.5110724030535287, 0.21138043303624032, -1.3710364508857937, 0.872539919278315]",3.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[-0.2618840231255055, 1.0375042897266025, 1.977950202357152, 1.5094059350127491, -3.001340608531416, -1.6943415791117191, 0.553978986034529, -0.7544567032166036, -1.5579187516904782, -1.164453219420712, -1.5811700784943423, -0.5821373816160014, -0.7559367124879812, -1.8979716342777642, 1.128354084820079]",1.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.893235839771099, -0.3964203954411485, 1.60915855577954, 0.8833922928688603, -1.048225802419777, -1.323764314796347, 0.1911245529972998, -1.4314830783942463, -0.7899859939538544, -1.7313247421517963, -1.2820398098355201, 0.5146585498156913, -1.4920205212161035, -0.7539286688366909, 1.8761331242420751]",0.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.2368039231127541, -2.154566785212978, 1.6920597875641548, 1.508651107744841, 0.9487489279292723, 1.0792865361629875, -1.2995684757774728, -0.7949652466234193, -1.2954343854406105, -0.9408986277593245, 0.8890567344285497, -0.42060901789589755, 1.5130758384652814, 0.7673164608177222, 0.9100820318789381]",5.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.4342994990446364, -1.248529831701234, 0.14509541392072478, 2.2838211294628294, 0.7028517933700321, 1.1113515508653276, 0.5791928190542188, -0.3639315871224379, -1.5821051169029603, 0.2741012871610593, 0.22406518236691375, -0.2345357531843253, 0.8168532226225981, -0.41270182018842183, -0.3102104680112743]",0.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[1.2351827734218883, -0.4294227039803926, 2.2572958434382815, 0.23917923369833538, -1.9135063482472252, -1.1024040051154869, 0.8862565006847715, -1.8469436891247268, -1.2068074475005781, -1.1250540891224414, -1.123614488633463, -0.11367100840102806, -1.7606894979667662, 0.18568792277628798, 1.243919954998939]",2.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.0834001346352737, -0.6833434526985658, 2.1642730444857925, 0.9472787630285182, -2.1454477932016833, -1.4800786048646004, 1.2879944100931464, -0.6773563637151635, -0.7771855195538787, -0.43701930916713316, -2.6942642042475433, -0.47269748561487546, -1.0538542431969171, -0.7386276534151409, 2.4221905389132896]",1.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.4265823692205092, -0.8183511713014193, 1.5969081264099543, 0.324363290589888, 1.1182870476132547, 1.108493676717509, -0.7812863993574135, -2.762787023707851, -0.09959847586225923, -2.0748690246349466, 2.481771475968106, -1.7245236657290057, 2.6696642777051354, 1.0221944478458915, 1.7903958325902662]",1.0
mI,"[2.0728663762947677, -1.541480375419988, -1.3352807601902184, 1.3467408945653205, 0.11783049356681952, -1.4998900342791277, -0.2053390960996866, 0.29687421027306093, -0.08740637859582923, 0.9580510911186148, -0.15103231158928598, 1.6413535652463056, 2.223038573839644, 0.3056262048913495, 1.4612415500260416]",0.0
O,"[1.0337505675409648, -1.2013999134908036, 1.505125679106279, 0.5220287702167028, 0.22063750357919698, -1.4948570672043255, 0.42185107355507867, -1.1916153031160786, -0.9857621599452232, -1.1622972523990995, -1.0872758724952745, -1.3017774622698177, -0.885954215954583, -1.40964093731273, 0.7912357064460993]",5.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[0.18250495311746084, -1.863475292346426, 0.1574320536912701, 1.1265230729779567, -0.6490856807821993, -1.230390758763936, -0.0732539884361183, -1.0265584878245608, -1.490609838613389, -0.6667455432111555, -0.24159286521414447, -1.1644196750623188, -1.5730512906498233, -0.9966078644896363, 1.2383637413641084]",5.0
dx,"[1.2095799450043172, -2.806107346715157, -1.502551631470906, 0.7169096045051451, 1.1465541541044701, -1.7005475186249768, -1.9059498820871443, -1.575865487065935, -0.2648810594750496, 0.12920088002924013, 1.8604733766395216, -1.3505504710412752, -1.714844950884208, -0.12104203579318407, 0.3419968483181359]",1.0
Hukfb,"[1.9168679249232712, -1.4504431524122907, 1.6872886754823102, 2.268301892154116, -1.8059908378428386, 2.1532565796461345, 2.021994825852276, 1.6016378818594166, 1.2977211853095532, -0.14254543351487237, 0.7338144240426048, 0.47165086637860776, 0.48964505287709637, -0.18211044377910268, 0.21035143265343126]",2.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[0.3974264975794234, -1.4507355603223802, 1.6698576994181584, 1.6755085856256975, -1.9313579039650177, -1.0785109677242621, 1.0113467207187001, -1.2776415864856083, -0.04538732301000936, -1.0374654138128916, -0.4016179927149476, -0.41114166267799557, -1.1927935798660503, -0.7304313273139189, -0.018485507556162295]",4.0
ePZH,"[0.37452405228686647, -1.4595428070843228, -1.9660220381761966, 0.5036562802998332, 0.8382123769540359, 0.1311060417032952, -1.4249297989428464, -1.7610704431265662, -1.2713369812789208, -0.1489546654375301, 0.41937761939388174, -0.3980161017398095, -0.8290159992814757, -0.5091343561604658, 0.6390876194427827]",3.0
gPG,"[1.2103003768758107, -1.0738234587363098, -0.5285215627040254, 1.4963834057555718, 1.3422415367698854, -0.16987245172654863, -0.14402333098976083, -1.6420404061568563, -1.6924077609980093, -1.8911570999241913, 1.3559989078082595, -0.4840523008224765, -0.8643132080034966, -0.8524215256310959, 0.574395169732888]",5.0
ipE,"[2.850369096501834, -1.4876933957218235, -0.2900798760199136, 1.6649648693244556, -1.3942933985231019, 0.6189263047159881, 1.5466020475287237, -2.1068357572068743, -3.027207782818681, -1.744271355592291, -0.8795495729369205, -0.6708888825310723, 2.4231934835108233, 0.026851805632618242, 1.2643367123934022]",2.0
nGGffmN,"[1.3283404039263278, -0.9624681833310964, -1.8842860491961297, 2.253256692173751, -0.4303660862270494, -1.4181186664718513, 0.8467843090759019, 0.11242524428019085, 1.3319694511284472, 0.5748689282692572, 1.0703112095522118, -0.7893792698356743, 2.839354105465737, 1.88538488465193, 0.9202795584427534]",2.0
dlHLCOd,"[0.6476060161253759, -2.037583065103952, -1.7504427073514721, 0.257464095794922, 1.2320406696886197, -2.224714732744715, -1.3472240474441923, -0.760630440757885, -0.9352177050182979, 0.2765753296586695, 0.7573216980096504, -2.336114922892775, 0.10717019667040084, -0.6617663233571744, 1.4212895332128987]",2.0
Hx,"[1.0146096189255283, -1.991536964090495, 1.4882961919642692, 1.4574639968165384, -1.1772054859882937, 1.288898434377999, 0.0583362660686505, -0.6978663500799003, 0.12757402930589368, 0.9434536907065729, 1.4337096296061826, 1.0448707128439987, -0.39891769785617204, -2.769466134175766, 0.9297332833914707]",3.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[0.4607288726830431, -0.12793074671258964, 1.7344046046442538, 0.37880008068108517, -0.006558172117062, -1.8273526085567655, 0.5371966802439674, 0.28158991296528324, -1.038356907413728, -1.4374853006166646, -1.76483282543901, -3.1969891741713026, -0.797719943547542, -1.0104040596895476, 1.2526542575254855]",4.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[-0.03246395561087101, -0.1800946500197289, 0.9543088176347322, 0.4272241438500153, -0.713270760063264, -0.8758267712460666, 0.6410451732437132, -1.4856557715045304, -0.5610970643576165, -1.532266138628173, -1.8263944694932444, -1.3339598926416094, -1.0467902179937127, -0.5841058077095608, 2.063343184121962]",3.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[0.7861851516644547, -1.3994037190534638, 1.5498644023392563, 0.3633804494317242, 1.2186293152457393, -0.9104822935536339, 1.9469529557098837, -0.28789868554696596, -0.9070226512072024, -2.3218958258922293, -1.2437376376402776, -0.6988095207164015, -2.7797713684147958, -1.5579984702493939, 0.4135850222919334]",0.0
inVwag,"[1.5487810429509183, -0.5557452968843515, -0.6376393157610335, 1.990241732317868, -1.218824404466934, 0.5736137506630007, 0.6013389470440142, -0.9852416790020109, -1.3448776193734608, -1.2081973041387446, -1.3926674861310446, -1.2910168342739825, 1.0793076070761563, 1.3080636822731888, 1.1841930619331191]",4.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.016916909919854395, -0.9194188046813212, 1.656804571718359, 0.14470992004026817, 1.1380492975734067, 0.9338550614448679, -1.172316478849495, -0.7244325275312505, -2.1422322354150944, -1.2482557189032033, 1.2090303063285792, -1.1895637754246282, 0.5246910322402949, 0.5067705872397582, -0.13710731079616134]",5.0
uR,"[1.3535141282249081, -1.8527119516687964, -1.9748061172376485, -1.3006693798252502, 0.9051421156415203, -0.47124026632372895, -1.7920140439725964, 0.8033140678609553, 0.13045303786034235, -0.31160673734107036, -0.8641174537857201, -0.868353977838684, -1.5519230742516765, 1.3029366369515334, 1.946713662236993]",5.0
La communication numerique est au coeur de notre societe moderne,"[0.09693389650313178, -1.6061934003712794, 0.8720788271826053, -0.5005075810258435, -1.7764548655523367, -2.7579501327885962, 2.100459778731119, -2.0372351272651263, -1.4199313968855005, 0.4004388778904937, -0.6615943078045714, -0.7092409780893045, -0.43388346730249217, -0.38345053317235867, 1.4062165669023525]",1.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[0.6393437662488897, -1.25274054808451, 0.8358697877220131, 1.5470050002071924, -0.9433755392304333, -2.0839849046717833, 1.7644296588015522, -0.5565005144579046, -0.6314146156839016, -0.47822134215531, -0.8218701361934466, -0.7905255217838053, -1.263328241294924, -1.2277909684340333, 1.3644513041860014]",5.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.3161611563411895, -1.142921097758257, 0.2014661978179001, 1.7442115971932401, 1.3045850795672684, 0.8396164457241438, -0.1391602167446251, -1.3027452455681692, -2.1870339386508504, -0.5976804256358883, 1.0293961637867763, -1.5010965570697932, 0.6708730025198016, 0.8474468821462792, 1.1835500985904361]",5.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[1.1718070379398873, -0.5889190402398534, 1.947917485788098, 0.6639245052984627, -1.1184136258987676, -1.0495132457148098, 0.4808458437274329, -1.6061477496345458, -1.467183912142295, -0.9612759285934531, -0.86194959387568, -0.41882200512988854, -1.2442219039997502, -0.9734890834514467, 1.1574894762983186]",5.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[1.1409071766989891, -0.7023144551456786, 0.654706360626619, 1.3471984701616826, -1.4573139742173584, -1.6637257967816346, 0.7875330525303721, -2.508151726192866, 0.031952219476414356, -1.5633088970921647, -1.239128371547437, -1.769647944419225, -1.2275143276592018, -0.2428989957743246, -0.195826415521398]",5.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[2.164895106955716, -0.9225634522316702, 0.9584087391928177, 1.5025020497661066, -1.6175190870384173, -1.5645786091078207, 0.6387948133957712, -1.3082032691422976, 0.3324086904873449, -2.009154826672807, -1.064907887302947, 0.5017337206052968, 0.18804293363427038, -0.9442101231701878, 0.696942877709129]",4.0
AfeSOU,"[0.6319505384039948, -2.1925490711548896, 0.423050113183983, 1.8780442791715952, 0.3500797733421175, 0.006540501908844032, -2.2941917493783226, 0.20820338000890537, -0.7468585276995761, 0.596164701097869, 1.216367707187217, -1.8602636783823678, 1.065392498347701, 1.5474855437585169, 2.063483527660919]",1.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.6904475917987436, -1.036401407770694, 0.9385533949118373, 0.41866782491718435, 0.38101559513305805, -1.0169611251725035, 0.3165237471301543, -1.6490815961661687, -0.3635322541711742, 0.7001980548860578, -0.8675161985306861, -1.8856541593224132, -2.2042894637470667, -1.7441668260110073, -1.2048427000867132]",0.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[1.1064680355658159, -0.7184916079926136, 1.1671971846397322, 0.09993723857466053, -0.9592013256935611, -1.082852366617155, 0.8451102492061637, 0.061074449755228244, -0.6884890067358937, -0.4272354323084666, -0.87890172424201, -0.826929616063008, -1.8539604549314253, -0.5455932705538429, 1.6772276803375248]",5.0
Tx,"[2.5110784313705086, -1.0697582437452902, 0.2733383759335517, -1.6090258845228507, -0.8121073870202493, -1.6563346992990369, -1.0846769883780114, 0.13772235080211792, 3.752395626272382, -0.22605606315722993, 0.9478627240406464, 1.7135467371301436, 0.6753359121464972, 1.2002788919024114, 1.9336917950727859]",0.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.4256498522310166, 0.59425413992573, 0.6797394541900608, 0.9194662301743664, -1.2681030938255597, -1.0988177650540218, 1.435074978822854, -1.0503936746864557, -1.3861402342325828, -0.8800590947879663, -1.365007194861355, -0.8000511887756948, -1.7751556184404365, -1.530811184829683, 0.4241108863089721]",4.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[2.4773070197831832, -1.404413739339828, 1.7430857636143637, -0.8734047268890006, -1.6536811233099553, -1.3337134552923922, 1.3471225961229696, -0.8511384832521298, -0.012486360505766458, -2.364313126543647, -0.6325914176253437, -1.8230347194504595, 0.6738619944575224, -1.7223979752585916, 2.5412167007358937]",1.0
zJZ,"[0.10678121432027399, -1.7511181490270333, 0.7479430615206875, -1.6015147566245473, -0.9564006610007039, 1.6797239528809156, 1.078136478480835, -0.008082976109467843, -1.2274583770454925, 0.4197317686321813, 1.05135577492368, -1.1978470549838374, 0.34941927482621216, -0.633491914637173, 0.8761619787596012]",0.0
M,"[1.4122233694060815, -1.0404873708152271, 0.4269313705796425, 0.1258487201246944, -1.2983923836121027, -0.7645469673464178, 0.3889278801992264, -1.0454930681522914, -0.495091210612689, -0.9243239250937685, -1.3543925529155885, 0.21545409533492288, -0.08692436736402265, -1.979583659912576, 0.24501088374264512]",4.0
ddzwV,"[1.5451643844193532, -1.4711623008284151, -2.218998884627914, 0.2184380333243937, 0.8196545620716598, -0.7108364602223394, -0.4018844522264249, -1.432262291370057, -0.6246703366789947, -0.7584582631524739, 0.10282300410860634, -1.565443186940977, -0.909278984227551, -0.2612094488706104, 0.7122105357616663]",3.0
PRO,"[0.4782741219801945, -1.657810615975751, 2.068128523006777, -0.64046133224381, -0.06561299197539094, 1.4547856608105252, -0.1439635820432349, 1.0327161834753376, -1.2608389571102747, -2.0660049933670273, -0.2442671112109498, -1.2956068295229333, 0.6137482183699339, 0.02880224608286097, 0.5427978282351699]",3.0
Qlmpi,"[0.32559288732719927, -0.7619786332616776, 0.4477373166999654, -2.366121696039196, -0.04570424787253091, 1.1270855059262428, -0.3491106779792915, 1.6815817571431868, -1.8656186759068127, -1.5113073475734071, 0.5268263146202157, -1.4069523607459673, 1.5049386148268111, -0.9869839311951509, 0.7660492244382449]",3.0
La communication numerique est au coeur de notre societe moderne,"[-0.8581908045132829, -2.188794364535088, 1.9521259591107771, 1.5183025836911077, -0.20396251341561267, -1.5969313373631402, 0.9414307270513195, -0.42840424054175197, -1.1945513747492371, -0.9059039408299174, 0.5516381660031944, -0.0988817734653662, -1.256492094384388, -0.25418458358885254, 0.7989796689935839]",1.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[1.4737569330554068, -0.8438988336383562, 0.20552778396532168, 0.16988195575676535, -1.6726764841421724, -0.025865877039096707, 1.1890527600939755, -0.2432918473122424, -1.063306554931963, -0.4671749902838984, -0.82688047506475, -1.064355253139896, -1.1576913740842043, -1.6320290170140557, 0.7682331333335473]",3.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.4063521183659213, -1.1246332996291037, 0.5353903770371887, 1.0231500568136773, -0.6125017584301302, -2.018487702036743, 1.5722312689508804, -2.402654072041008, -1.350808163844099, -0.7405137294769899, -1.9248017215021447, -1.4385288969767367, -1.1805667462058316, -0.47131072307264266, 0.6509834228164251]",1.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[2.4066573612973974, -0.5530200809586714, -0.02413171525060709, 1.074843172780057, -1.4471407670141279, -1.1155871207862187, 1.1211127411191397, -1.364060994340091, -0.6399782507388102, -1.0065706110276715, -0.45023690202223876, -1.5638026073489049, -1.1246941674015454, -0.5305524557134724, 1.6288606582977931]",3.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.0946665209106448, -0.5155442438378263, -0.02539752395465622, 0.2661662657341196, -1.8464432364104395, -1.142959356627864, 2.062577571665442, -0.7352090145544801, -0.2785708770059734, -1.315938769226079, -0.30669208369985856, 0.08302911517451106, -2.1311363065959963, -1.7406820264986846, 1.250084177603859]",1.0
X,"[0.4815329652749306, -0.3832757403343521, 0.8893525253577277, -0.07275546770619246, 0.16839629775510856, 0.18816404019424016, 0.41573808793022793, -0.43313005478497546, 1.553894436942214, 0.7876469099955938, -0.9724555446558812, 0.6352519028932065, -1.4199522128315862, 0.11319966186079855, 1.1920936465838619]",4.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[-0.7719428405477644, -0.23834158459720334, 2.111499343652798, 0.15680359905458663, -2.037704152486313, -0.21724810308227926, 0.8545210627092799, -1.1954964115901956, -1.0585335884176954, -0.8474359867713639, -0.8518128587912188, -1.2582865987431366, -0.34672252363148115, -0.9472771077794635, 1.0260022996901337]",3.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[-0.557349334320016, -0.6234313742726358, 0.7833952657565101, 1.3361083298041931, -1.2434746610836998, -0.3395057461626395, 0.8999027260991156, -0.971463277615755, -0.6407157785917461, -0.18453502261629773, -0.47335134012714797, -0.26410271715742994, -0.8255984003867415, 0.4422672740104072, 1.2706275316950522]",4.0
bmlLH,"[0.20954896733981454, 0.1528454724033752, -0.291746868830032, 2.6433424245737385, 1.1923788810397717, 1.1654082816871858, -2.10687225146295, 0.70328713687997, 1.3662444654627588, 1.8042475276154684, -2.1710008254930075, 2.6643575921414353, -2.9506865314885617, -1.9782844565718483, 1.9010540633213546]",0.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.572234858726686, -0.19475844091815797, 1.2227399579332243, 1.3842776956020701, -0.6636322215759951, -1.514627735801837, 0.7608880833532952, -1.1832314917159992, -1.0414037058408512, -0.7483490917573978, -1.8976481041517452, -1.1965051847835988, -1.796895973411767, -1.8365432538721318, 1.0654021995330125]",5.0
oe,"[0.28590750599549064, -0.2785780602866824, -0.3254359077996082, 1.8030718072201875, -0.7409665576998772, -0.5285172762868442, 1.0237936801630698, 1.8468469068875095, 1.1299365621045176, 1.382576719545048, 2.575943366958015, 1.8527105749037647, 1.3049589214335433, 2.587884226063946, 2.8743239051640206]",3.0
GvNrKF,"[0.30878592863484955, -1.3833041253204366, 2.281312089330103, 1.2643795155361564, 0.0972265946248041, -1.223297978624936, -1.2518181481148616, 1.8585089247512077, 1.189618601556939, 0.7614256424548702, -2.0246538042827193, 1.3952750412727761, 1.2769910241006155, 0.38875384337740615, 0.2761267303865569]",4.0
AeNG,"[1.3989959930040727, -1.154353004579268, 1.1144912847878448, 0.7113722587344511, 1.9584143677350823, 0.7474240503813665, -1.7817025003298255, -0.8898585038794845, -0.7144490059436357, -0.1913591705633213, 3.1627961847035193, -1.2240831436915738, 2.4569921127974284, 1.6289491894251165, 0.323554820846799]",4.0
JZ,"[1.6286495296122823, -1.0462223551349967, 1.5844180063473203, 0.16041031746555912, -1.2893952632385468, 0.5577957995512964, 1.9182824535830654, 0.07328919064739492, 1.521064755160925, 1.0915816450479867, -0.6105741423217683, 0.5370503960966065, -0.17107288143122945, 0.6825513602409807, 2.8210327078423734]",2.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.4016543067255298, -1.1026494008895487, 1.2779954169422871, 1.9128466964540856, 0.5160472425296101, 1.473174403384996, -1.779343038107195, -1.1621766308734398, -1.3017384283360003, -0.9604707009925842, 0.5606148491020169, -0.9892307338336186, 1.0927906533761294, 1.0974318147710589, 1.8819797943032777]",4.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.5758995394480713, -0.4658697020745127, 1.5051847896428268, 1.9488951681463187, -2.4006274506092793, 0.07001225298433122, 1.5862602594774036, -1.9988642418106615, -1.5887245565953563, -2.1596918867033783, -0.2396483579449621, -1.4452094794573105, -0.5278329112194096, -0.48355318667606273, 0.9711309311763306]",0.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[0.13393395202883474, -1.8550723308813377, 0.3629195436204241, 0.6759513444191987, -2.7014749587793365, -0.07138911292258965, 0.048583765296235426, -0.04146327802374872, -0.101091374288793, -1.9666359521300638, -2.1530308902946946, 0.5191538090852872, -1.5064362241523694, -0.6872315096562491, 0.9740397640619084]",0.0
La communication numerique est au coeur de notre societe moderne,"[0.2072322667320421, -0.6001328397895398, 0.4734597552280947, 1.2206705240142792, -1.0348745601829146, -0.6045937591433331, 1.0626605064130585, -0.8847655714843576, 0.05353400064447622, -1.2549888601123318, -1.7916303490463243, -1.6814738066791495, -0.7272771253442918, -1.2574979859154602, 1.2635204189105438]",5.0
ea,"[0.10611439436338321, -2.069960887425937, -0.47576073922843953, -0.2052239603504693, 1.1018781934959552, -0.9801443795596981, -1.1282505518565231, -2.159843555013905, -1.6871837218020589, -1.001775259720792, 0.5097638691590995, -0.9497900235037481, -0.18512271505939382, -1.063917888292384, 1.5068188165369607]",4.0
mUb,"[0.5390784447739267, -0.2718115139932622, -1.8172299141321466, 0.7649337487725549, -0.9926240541122966, -0.4786999044648349, 0.722012022395595, 2.0107716062947283, 1.2296227991475652, 0.8438710828347831, 1.4789919911871046, 0.4208603053142661, 2.5307431584432107, -0.5559922394374555, 1.4500191366766195]",1.0
mODW,"[0.917195387473975, -0.27922647265904854, -1.7606532987916623, 1.815819449213495, -1.2917408084567823, -0.7243463359080438, 2.8899166438999515, 0.8062295406357991, 0.018620393180212913, 0.9874878970582052, 0.06100987542728298, 0.967301523465436, 0.6634217044368707, 1.1900659460414866, 1.780331003035267]",3.0
La communication numerique est au coeur de notre societe moderne,"[0.3650309869438516, -1.2981913428731748, 0.7205402107554363, 1.8122506054696819, -0.6643026998434443, -1.5523754038103257, 1.4716478851792798, 0.634441633444778, -2.3091514765897942, -1.1281103690347023, -1.26115031933917, -1.430372720864952, -2.3788221958335614, -3.0680453194768162, 2.549977153962029]",1.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[0.7448801967171709, -1.7955106060341413, 2.640781044541865, 1.4616810755430243, 1.80862327583535, -1.0865143116105715, 1.1126793741785914, -0.7301064068466734, -0.7725939938642903, -0.5586110378821743, -1.507877661958501, -0.814535169359232, -2.640016753963687, 0.6821040857251526, 1.0817040680596464]",1.0
dLr,"[1.4098755873098148, 0.2602805390302796, -0.05778213683763622, 1.515204699776366, 0.7283689902234043, -1.6385995236740951, -1.5217624279512165, 0.08553096801750426, -1.915834085000933, -0.06922661467234648, -0.1262588820004671, 1.218764874784008, -1.7886414720485821, 0.2952531036152437, 0.42225194307380687]",0.0
wqKFyV,"[0.8656110459338586, 0.17617646836214051, -1.7790158812824899, -0.5875342638051294, -0.19906007624666522, -2.4106381487976187, -1.0178746094015716, 1.1182315456748309, -0.9839978346022084, 0.20659093742372914, -1.0294170643807996, -1.7270625457962936, -0.19273380007315966, 0.7735349049655715, 1.2487593636595749]",3.0
QSSYkL,"[1.7565299188210597, -1.2773078487381162, -0.11469214229521718, -0.5306125607872125, 2.158616135381523, 0.9228378276132959, -0.7187694908657141, 0.7195293493935275, -1.1787339719838816, -3.469804157989668, 0.3726327601110351, -0.6134693002698075, 0.18091562027108865, -2.248806335767152, 0.4837551044211852]",0.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[1.179552589557045, -0.9145858270235407, 0.895906323858418, 1.2017549846401823, -1.220275605800416, -0.9471073121538192, -0.017288563914922284, -0.2678029454560451, -0.7067114175422902, -0.913694319148856, -1.6628506557882443, -1.2854736145816914, -0.5376565062148324, -0.6124532048884886, 0.24115880793831967]",5.0
hgQw,"[1.1172673268947428, -1.145584050091476, -0.5432764610909055, 1.204276386513685, -1.6432394068478566, 1.3657160715502998, 0.9445847213430845, -0.9276985863608009, -1.2351546817554149, 0.6765708089984697, -2.332898508569219, -2.1992693598293696, 1.544148664967737, 0.6678255206453432, 1.1213196282247757]",1.0
y,"[1.3130361025217447, 0.3211891157099711, -0.49962878575145286, -0.6601448873012866, -1.188949043006128, 0.8082639416917111, 0.583196675547452, 0.500794088773488, -1.6388215020342378, -1.2312474300780392, 1.1486481032155686, -1.8101148429164615, 1.4139860243322073, -0.2771426499417937, 1.8135824499240634]",3.0
