Mot original,Trame codée bruitée,Trame binaire originale
,"0.8730690756331932, 0.9655943286545078, 0.8466539258506526, 1.021443373454878, 0.9345147246158493, 1.1880187760872922, 1.032872962308873, 1.2053715992405347, 1.1817588942700086, 0.87758675830664, 1.1400079354152957, 0.9365056537110691, 0.8222830375960543, 1.1408006465518252, 0.9954406150354762","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
,"0.8656194203817769, 0.9468143729200831, 0.881973467124531, 0.9712911620923749, 1.132076546549705, 1.049170578692091, 1.16562356070561, 0.8783308140885784, 0.9565647186505004, 0.8876391967949951, 1.3157493052017852, 0.9573528812398251, 0.8787162988720904, 1.2036780771429387, 1.10346105378336","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
leajqt0kzz,"0.7818502894951604, -1.139080501590062, -1.2981831481113209, 1.0518677989171568, -0.9579116172267043, -0.9527573811601103, -1.0913680079535857, -0.968897232886377, 1.0979601955383849, -0.857629448071703, -0.9371002142135806, -1.0736833957262402, -0.995494975126584, -1.0039229412176944, -0.8940023953154348","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
itmi01g7z,"1.0079900851540544, -0.8366950630879324, -0.9342387265201814, 1.1501381759058846, -0.9327195408686518, 1.099765595737839, -0.8979466637102231, 0.9743590463684668, 0.9676239320448033, -0.7643233891328615, 0.8408055505108138, -1.215416547836995, 1.0011433065375541, 1.2906902334663246, 1.2810754679143814","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
9r7cpqg4,"0.9253689831105063, 0.7463581164573061, -0.973688160383714, -1.2168105342390232, -1.0323240144735186, 0.9891358282200279, 0.9727138010604255, -0.937799582060569, -1.2304344547844388, -0.868532094706257, -0.9670556641260198, -0.8834546560996057, 1.137931491468786, -1.00728873456343, -0.7999974492134291","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
4,"0.9073191398461523, 1.0523953881631625, -1.1358779219529165, -1.007857558685709, 0.8938897890647888, -1.0630496102411537, 1.0407469016021562, 1.1479686173957255, 1.0120971338225835, 0.9942717777097876, 1.2301332075831453, 0.9684209217605849, 0.8076000808716197, 0.9847257444299493, -1.0003358606056605","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
swa2ad,"1.2090062503160997, -1.3144492869957813, -0.8120813663130062, -0.9491933461408322, 0.9656326751686046, 1.0965505454410975, 1.1012003842071023, -1.0304268870360842, 1.080765443219474, 1.1038303086746772, -1.0077783586247369, -1.0535356531599624, 1.0152182682528552, 1.0476139915748353, 1.13376803331423","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
gam,"0.7677772291517716, -1.117818445512325, -0.9809858009893515, 0.5939968120204816, 0.8920668315498076, -1.0897893906383158, -1.0998565557703788, -1.0790270663329116, -1.2227258625623953, 1.0292288894710668, -1.0116655397964593, 1.137664778480638, 0.7865192798350096, -1.0612741892110318, 0.6835921410752117","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
sr,"1.0664150350484582, -0.7550962473192376, -0.892466411805106, -1.0295093990226811, 1.109082025334843, 1.1794497245890463, 1.1163788750461021, -1.1330172252897037, 1.0608390962900283, 0.6781870515797539, -0.8500777665589133, -1.0067582881192565, 0.9753853852876773, 0.900745164364193, 0.9799710021125984","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
335j,"1.0398823753029145, 0.8702926649412138, -0.9938322440696931, -1.0668102690693995, 1.1018455802650546, 0.986906815033292, 1.1087341666762955, -0.949475559268905, 0.9004561327604074, 1.0489833911546254, -0.9072914538941255, 1.2178821673724856, -0.9427115625910422, -0.964795697621892, 1.1590884209314583","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
fleev3j,"0.9737393982034626, -0.9657734715843105, -1.0082524765634377, 1.1489619891315541, 1.1856065823231585, -0.8875691028801963, -1.1284467790833315, -0.9425841445617903, -0.9789020689738603, 0.9856980529727811, -0.881227180506929, 0.9002980991127882, 0.9295416943525387, -1.060651922650538, 1.0448340042418496","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
m0mos4ba,"0.9628830096504413, -1.0928119917951713, -1.0065972808198063, 1.0180543935935908, -0.969275813672859, -0.9992957330174594, -0.9678819880184787, -1.2536092354250654, 0.9715742287489534, -1.363378939065315, -1.0717049623974026, -1.0505865256720877, -1.2374818263197913, -0.916000223005866, -1.0933460177616692","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
50ripkuvlv,"0.9355961672646985, 1.122299151681014, -1.0848668297694657, -0.7907139853147596, 0.930444744076462, -0.6815823432491791, 0.8799609730836696, 0.9904764436830378, 1.4631974694216847, 0.9061505851116005, 0.7879354097651076, 1.1914814062570411, 1.2533299165993717, 1.1118058739740129, -0.9800180753243052","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
o,"0.8932234982532261, -0.8441198821065917, -0.8398880471558164, 0.8529846242707946, -1.0534577761832127, -0.8227201294474115, -0.9621103740273201, -0.9155255016972876, 0.9070574622286899, -0.9813660802731873, -1.0220331500107136, -1.012242717655872, -0.8863668917127936, -0.9326945353251489, -0.8931566973049282","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
yofvynu,"0.7135192976739209, -0.9757544945455137, -0.9560892523316008, -1.0711075460959352, -0.9771521486089576, 0.5851959091019491, 1.0773473375736988, -1.030412475390568, -1.1154899224816144, -0.9589502325092419, -1.1305906722293075, 0.6500013440101503, -0.7714325800593299, 0.9958280184755184, -1.0056901759684296","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
r,"0.8729343382504771, -1.156224033899754, -0.9090134846298221, -1.0561163505258955, 0.9865920778005691, 1.002697920042694, 1.0772648401519946, -1.0247315593299269, 0.9768002644032623, 0.9506861166938728, -0.9790467874641934, -1.1490607685529948, 0.9276728265741161, 0.8704037395046134, 1.0867563346996139","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
1uj4bpn,"1.0288686113183043, 0.8169991948163208, -0.8103168220691109, -1.0948885149049796, 0.8613036948117107, 1.2299802290440818, 0.9507568802694777, -1.0092007518007826, 1.0738163852455829, 1.053952131261667, -0.8989407248104282, 1.1186297215606849, -1.0323866176454382, -1.0373485674476899, 0.6648019555752409","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
bssh,"0.8599173876719048, -1.1747180508451422, -0.9052482205806879, 1.2440342167965286, 0.9353283434003552, 0.8316501102556085, -1.2239314666193628, 0.8154258511806305, -1.088890244172527, 0.9979574304914054, 1.1223036688189982, 0.9616280577136962, -1.0654103307386824, 1.0527933908065457, -1.0223522471886357","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
l6xhen,"0.9485163273337809, -1.2010366381645368, -0.7939008939483113, 0.9584794987440612, -0.9966660430310478, -1.2212201357820618, -1.3271170254142217, -1.159064236178663, 1.149982809845692, -0.8525341396992516, -1.0087897848127856, -1.055945035138161, -0.9243442747519537, -1.0099154358670497, -0.9169130404294641","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
9rf,"1.0778668831984444, 0.9834392109397779, -1.1223006536818476, -1.1274906568966518, -0.8132019107315577, 0.9678139702001761, 1.0480781400398171, -1.132054301972058, -0.8384826514911274, -0.9649024896434629, -0.9505894488226807, -1.0978986508476187, 1.280022453038951, -1.101657165591043, -1.0360306427887742","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
p2u2,"0.7906795395949375, -1.007363193681151, -1.0201402569726763, -1.0239402319868407, 1.1012012467286358, 0.9202151417222204, 0.8571263586739168, -1.0187365523089287, 1.1096191831695346, 1.1511610586821825, -0.9141316165270452, -0.8718510358143771, 0.8994625606370457, 0.9385360461500896, 0.7113279930653658","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
cd31phtjl,"0.995902468325938, -0.7747345039452957, -1.016079403553228, 0.9440689324082028, 1.2513447984219683, 0.8817774389112906, -1.1902877208769993, 0.8746785109727292, -1.0106125850715328, 0.7393784301726616, 1.0364558344942258, 1.2033680009900052, -0.8477823135812413, 0.7543253179968274, -0.8641754532595568","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
g,"1.17490108196087, -0.9911745974930155, -1.0884323098515307, 0.9286715398798648, 1.0877373074436776, -1.0898768292361851, -1.0835462568978727, -0.8001922290542522, -1.1403993529895389, 0.9971714953084302, -0.8420559347130294, 1.021102734743496, 0.8697336441922432, -0.7309225148849463, 1.032861591968503","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
5l24sg4n,"1.183619771063657, 0.9531792726849749, -0.9719736984809121, -1.0594822975965326, 0.9939526681306552, -0.6208091106835867, 1.232313682866028, 0.8387789957471812, 0.9489098765810028, 0.9715190939368072, 0.9871974137165477, 1.108934713180411, 1.1278773404535078, 0.9519887860458977, -0.8853482279392108","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
sdevpxe6a,"0.9934406183033087, -0.689425264896563, -1.0587264941950523, -0.6442423358512879, 0.9769909133444886, 1.092749115102074, 0.9412357085655408, -1.162446405653262, 1.1896148908480162, 0.8548782208341283, -0.8363662497783007, -1.1026901040301078, 0.8823719521016308, 1.0921997393605278, 0.9672759675038278","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
8,"1.0051408420861683, 0.7588052574730637, -1.0779367332953698, -1.2268157585437063, -0.9791720216055261, 1.1609171900681028, 1.140841931086212, -1.2225541952823984, -1.2529602683768393, -0.8186540994748063, -1.030001251125086, -0.9735166550790003, 0.9028908614521464, -1.0092993119658769, -1.3157194368596987","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
xd0hx7fi,"0.671924004679376, -0.8936205430716962, -0.7769305032331965, -0.9587170780886649, -0.9800801506616729, 0.9960193291508477, 0.7442307199425233, -0.8037964087225746, -0.8467598222886088, -1.097311197198531, -1.0356877942115188, 1.219247590315871, -1.050756555171994, 0.823947726890072, -0.9195605121066609","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
z3fwbrce,"0.8234363298365155, -1.0577412311382712, -1.0982909802437186, -0.8785315644948686, -1.2134096590202819, 1.2881245340195564, 0.9671788476715365, -1.1327962003373, -1.2508577061254489, -0.8989753483506503, -0.9207231097684757, 0.8178000051737698, -0.7156959924944377, 1.0271539594834036, -1.2098767039434983","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
w5ju,"0.9345795598923073, -1.0054239141078711, -1.0649241195317303, -1.1212185808570956, 1.1852642929654744, -1.0384869688498353, 0.8593227285328191, 0.8057457901287455, 0.8967807165518369, 0.9088276423941372, 1.1514374654639348, -0.9589954816179743, -0.698432940238289, -1.0632890657613905, -0.9413852598589395","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
76jht8k,"0.993924991736705, 1.1857346099302517, -1.1168572640277632, -0.9419549297378202, 0.8207810040056273, -0.9673877388939812, 0.9522398741313275, 1.0278981454706457, 1.1282670221247804, 1.3685827466087643, 0.7705324950404746, 1.1597130797287685, 1.240354538509644, 0.9333874231333547, -0.8457372085273834","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
38ja7,"1.0902321885553519, 1.2818038673990853, -1.1379063724101584, -0.9447968440164478, 0.8536244317515518, 1.012966688332979, 1.0850914713155648, -1.1066097845070646, 0.9665842028049941, 1.1453243691576034, -1.0186767007710176, 1.0201796956172562, -1.0175997047035135, -0.9637797563415964, 1.0004511669777663","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
j2,"1.1800079276957498, -0.9618992350770519, -0.9326020151299377, 1.1392692934089192, -1.1332917390207462, 0.889786046474272, -1.2286541585241364, 0.9744410044989059, 0.7062591283275653, -0.7233153466338798, 0.8754584997678733, -0.9009678297331587, 1.211744173494438, 0.8906071045614325, 0.9834579121447702","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
ftm6,"1.087576112458993, -1.0104614764738444, -1.214782810207298, 1.0487703728163817, 1.0236813661821436, -1.0590557193673904, -0.9746124890007036, -1.0389327320767399, -0.8458574670498089, 1.1094640144976442, -0.8697668916264921, 0.9837058503871157, 0.7370747158432539, -1.1689630245597957, 1.1553825132852622","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
63jnpbxj,"0.9737635684445745, 0.7835380466368507, -0.7202748909782508, -0.8553897899014266, 1.2238090500021273, -0.7782089316680225, 1.0511800338300457, 1.1469440645816333, 0.6297268014916497, 1.0393766959365067, 1.0012728306422456, 1.1724285050295569, 0.9593191733873208, 1.1579599778881935, -1.099239311406592","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
,"0.8032065534534454, 1.095729316654758, 1.0109870183627363, 1.0240784988346934, 1.0887368862169595, 1.125530084002739, 0.8731171986477645, 0.8384110276224988, 0.9069762229551142, 0.9962905740008701, 0.9713142403120345, 0.8078827327662128, 1.101307741014922, 1.0926716228609081, 1.2718248162219998","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
e8hhli7d29,"1.0221444639491533, -0.886501251609585, -1.151900945531181, 0.6924339466576399, 1.2206795912783497, -1.2229191502134598, -0.8942418021339583, -0.8263785461987749, -1.0334312082033361, 0.913431866229234, -1.0958892467166963, 0.9473462320397648, 1.0865038407777456, -0.9204580097030042, 1.0710530083187237","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
b,"0.9435259756617785, -1.0154481365271786, -0.9763581791763197, 0.8421100313491362, 0.9104402483580997, 1.1333827370482792, -1.0335575692769268, 1.0163747867420954, -0.8957002732534384, 0.9103522409716596, 1.030007575151517, 1.0287225336306651, -1.0179968773648045, 1.0400488896972082, -1.1858724906729226","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
wj,"1.0788324019360238, -0.857245648838181, -0.9692194678499401, -1.092476034003815, 1.0256643022260314, -0.9098701488206308, 1.1517117942796058, 0.8760898476011657, 1.1838616462603426, 1.0078627547090258, 0.9442787103534185, -0.836083234356527, -1.0338705168035118, -1.1595432755075206, -0.7323782264366243","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
dj,"0.9372484235323734, -1.1302333539494351, -0.9814280135591699, 1.19688578660335, 1.1274638287790495, -1.1689099157559124, -1.2470445785301092, -0.9593711120632616, -0.956309264065309, 0.9962262875233933, -1.1332401934387035, 1.0081877367338994, 1.0882899619885245, -1.2663013189388195, 0.7432927379561648","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
y6x8761a,"1.0698077637548458, -1.1249257999794653, -1.0589587078376455, -0.8401856333057555, -0.7868432322801281, 0.7820997047988077, 1.1529392378380314, -1.2149270562328265, -0.92119208208573, -1.1611831823726013, -0.845567496684831, 1.216905157368469, -0.8948838742525117, 0.9109586534422003, -0.8542130057379493","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
lddqtd0,"0.9695772250343541, -0.7916555253449566, -0.9295892713027345, 0.9925735438268125, -0.9347922302377375, -0.8677809352858874, -0.9679720358001285, -1.1304483563582286, 0.896298869384768, -1.080228188493775, -1.056282499242617, -0.9968963170829752, -1.0576289818765983, -1.0523534266719077, -1.110860834461589","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
4xy,"0.8836040682560086, 1.070379245848702, -0.9626630453989752, -1.072355693616586, 1.0512681351201418, -0.789937143937429, 0.9095283696387728, 0.7198250983771879, 1.1120348473725745, 1.0047665028780075, 0.884600233897033, 1.269530197986111, 0.8002024562577317, 1.2499465554250921, -1.1041517524550888","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
hxnh0qbpdz,"0.9481419011606685, -0.8978677398330102, -0.7439902826148628, 1.14765278253888, -1.0420250081069495, 0.957315350785493, -0.8051243685448781, 0.8765685367612275, 0.8330836191555644, -0.9317153473267461, 0.910683681582839, -1.3373013245835712, 1.038435117744969, 0.9029411128059653, 0.8423782169915972","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
,"1.0547940417328574, 0.9350931115150193, 1.005138509698771, 0.8755251383695037, 1.0067820597708939, 1.245257807303534, 1.124187665378638, 0.758247690314616, 0.9371378798872907, 1.0888097267499182, 1.0716695832933658, 0.9684661167933588, 0.7968366597406972, 0.733782367141318, 1.0110705795423738","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
nz9,"0.9479539002567602, -1.1673274523690922, -1.1508392649701054, 0.9200088269044601, -1.099373833139091, -0.9557898536575581, -1.0021836838754385, -1.301769180170863, 1.2721579384839508, -0.4973812134106512, -0.8890619009755147, -0.8283143583933144, -1.1326219104614645, -1.3834546543675381, -0.9590621951465843","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
w8yu,"0.7283789614771711, -0.8887297894242169, -0.7673140825169041, -1.0880826093650602, 0.9352133941296512, -0.8569018633206207, 0.8924819300869588, 0.9215706625420667, 0.9723159540833274, 0.8900046934013957, 1.0158648033950417, -0.895048809007323, -1.1216685243158369, -1.1403143131929219, -1.106610392371066","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
,"1.2194843428694744, 0.9407215439250821, 0.86731388182555, 1.0180566008307605, 0.9693172085191174, 0.9240842628253801, 1.0251971502749475, 0.9910525482507231, 1.0010435533781097, 1.0214738407727058, 0.7731284287868462, 1.0665480345085487, 1.1859402558354295, 0.9320492385040315, 1.0885712012019177","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
53jpuv,"0.9045776921499354, 0.7355691825587929, -0.9515031146382069, -1.0357267687233156, 1.0943277808013556, -0.9007510679291599, 1.0145509391415786, 1.0517016272399762, 0.7697379652536516, 1.1892698212982036, 0.9688379184415276, 1.1646451842909067, 0.9048556861540993, 0.8021329912538198, -0.7666184142713606","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
q7mg,"0.8160964931811964, -0.9428500206630211, -1.1154326575994487, -1.2174683587237876, 0.8750935943161169, 1.085532499977657, 1.3342112740677392, -1.0282637256329588, 0.7649077971948742, 1.09045912550851, -1.1330110199807084, -0.8309726636103004, 1.036541465272223, 1.0867243877012038, 0.9971575288692567","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
rg98n,"1.062676223707518, -1.0058176164476873, -0.9922930029343551, -1.0919443661320674, 1.2863792360734476, 1.0055413648648803, 1.1544500791472228, -1.1997459094342884, 1.0975405416509394, 1.0120404647316907, -0.9485122126529636, -0.8147340726357364, 0.9664752484156234, 1.0237469179442693, 0.9002284466067861","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
,"1.0368218571054895, 1.386076675878143, 0.8442292101467399, 0.825654264192887, 0.5770859274265082, 0.8585626719733451, 0.8658812916552832, 0.6748154503363809, 1.3319821543443497, 1.0776618089053471, 1.0568807990562896, 1.1588118260614535, 1.033093890587342, 0.7284947432640816, 1.2268870244261956","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
b3ge671uh,"1.3281685158743812, -1.0084785453467724, -0.9508621650789418, 0.9229387677163104, 1.0175491763235454, 0.9274990470528526, -0.8608503638435333, 0.8181371854655481, -1.0455226803763202, 0.8335064403163996, 0.7950712170394101, 0.9697669653156197, -1.1279964947056487, 1.0210899373800317, -0.912206224609415","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
nscb32bx,"1.1115297137622693, -0.8831121702896648, -0.8071899257593533, 0.888583494605445, -1.3911836250465601, -0.8309077207087677, -0.9116703059973558, -0.7807706858321614, 1.2777057270062675, -0.9490444864278121, -0.9465985254085657, -0.8937002990328367, -0.7294569261759432, -1.0787436513539208, -0.9570454389792251","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
rs,"1.01312390354138, -0.822056084288602, -0.8887606749186189, -1.0949502190100895, 0.8631386615480162, 0.7652986084683828, 1.0850568750709175, -1.0644295530670147, 1.0568620453096313, 1.0026467257091967, -1.0371510829475703, -0.9398476322930718, 0.9217968704998583, 0.8542745028944339, 1.0952123957943678","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
t26,"0.8556277529445342, -0.9434445864173507, -0.8722902738515621, -1.0547035934635525, 1.2185704048121537, -0.9702297419114293, 1.040534009869598, 1.0541249263770285, 0.9768458677237768, 0.9583747181171488, 0.6995312859374985, -0.825788200207653, -0.8767479125531411, -1.107037402657297, -1.3471230681148734","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
ujj4ah,"0.852457150576605, -0.975704813201851, -1.1483573221563415, -0.9484084699696755, 1.0606848256638932, -0.8238071641919672, 1.081054755948609, 1.0630319592562911, 0.903000698183329, 1.0275246363589392, 1.0944784420661076, -0.8975771166945381, -0.942297968866905, -1.3052952660181663, -0.9243644000416469","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
8831h,"1.2351381359586597, 1.036622042606426, -0.9937413484219056, -1.1513221529902316, -0.9532056894938827, 0.9748580018603065, 1.1196697566474354, -1.011339214394742, -0.9196032605319636, -1.075501011290939, -1.0892680447164456, -0.9365571803139444, 1.276201479689931, -0.9943941138629024, -0.6434285651298186","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
wasju4,"1.3077412393378178, -1.2605836784743931, -1.0032037358793153, -1.1924969477795728, 1.1638879053541806, -1.085674307778945, 0.7961831701656313, 1.2813148999189727, 0.7843533840850756, 1.0186114280524616, 0.9916106446847148, -1.097348355286319, -0.8541935254098343, -1.0063691261820584, -1.0318029928476935","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
,"0.8817786780231535, 1.1028978284336897, 1.085643916405468, 1.034656285954134, 0.7819777694464369, 1.0877463540476966, 0.8601636395470456, 0.8359460870890313, 0.992425941659185, 0.8486293271864943, 1.165348155757229, 0.8707173647876353, 1.0087496524735629, 1.0069177943389598, 0.9535661102533659","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
p,"0.930273620081114, -0.9910993202590874, -1.0435193473107303, -1.0278009794289868, 1.0372177239102938, 0.828158928053822, 0.8884133810613006, -1.099732032310185, 1.1209368013718637, 1.0425305219660614, -1.0937133774807826, -1.060920912976563, 0.7901509714601433, 1.2925852813570682, 0.9792851790144186","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
fo15g,"1.0933984973920905, -1.1928921689608853, -0.8764503191919252, 0.7272081825393631, 0.8549767444454983, -0.8889338002070568, -0.9022495125370491, -0.8161676517604772, -0.99723803785853, 0.928039521792516, -1.19976082831498, 0.9821145995468492, 0.8188225877052764, -1.1621518063986467, 0.9910524731435644","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
sdzaco1,"0.7475295442679828, -1.007420606188498, -0.9332261728206026, -1.0518338140850758, 1.1493686076383853, 0.9396334171524093, 1.0992911234963698, -1.0241671238696803, 1.1875484760333461, 1.113180924893376, -0.9694233064839346, -1.1401261592363796, 0.8847919926919611, 0.7795608216575757, 1.0697718044584565","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
3bq34tr6c7,"1.0323960650092114, 0.8543444187592713, -1.2152962038476856, -1.058332690816745, 0.8975092070872627, 1.0014623806207652, 1.0957390684749804, -0.8338430138202579, 0.9860304621795833, 1.0413425989161091, -1.105647119100464, 1.1658286434327518, -1.15081664296649, -1.0103033818930671, 0.8196000366130757","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
6jpafovth,"0.911665924017713, 1.218493949409316, -0.9982450871524026, -1.0403895752699412, 0.9165381579283534, -1.0337266639518479, 1.0054656465956011, 0.9792233457710525, 0.9755706893929754, 1.139019642699517, 1.2394896646693347, 1.0100669158822566, 0.873922746978132, 0.8727467368241725, -0.9847528328344533","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
j8ivc92w56,"0.7099894620538856, -0.8404320203085247, -1.0137809861250262, 0.953555661685185, -1.149589092995473, 1.0159458304076092, -1.061616967971127, 0.836175297606865, 1.0192980505387845, -1.0571437740713334, 1.038849611777703, -1.2698782894122305, 1.080183926806324, 1.1577532353302662, 0.930447144047821","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
v2yew,"1.0299118627002568, -0.8944674044927676, -0.8241495720182135, -0.9150986647021717, 0.8635123458776949, -0.9047529492226554, 0.6797970620598628, 0.8565584966363389, 1.1606183907677425, 1.1637103452495756, 0.8658788624682974, -1.254204713307783, -0.8483135355335693, -1.063671698487047, -1.0162258065666256","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
7wu9a1q1w,"1.2539476285190443, 1.1725415835330142, -0.7425574048183414, -0.8602554696659924, 0.8322852949423022, -0.8089474453692929, 0.8972329917512055, 0.9776028843896563, 1.1505260989290498, 1.028019431632546, 0.788215231306905, 0.8966601245683683, 1.079385307693646, 1.05290940804095, -0.9786368346699388","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
ufj8irx,"0.9000159802913188, -0.8018151022597714, -0.9977975184871348, -1.0475508081451255, 1.094768945382813, -1.2742262771928483, 0.8361251764298163, 0.8566108128381835, 1.2660136305333145, 0.9176830148744706, 0.8595267140896886, -0.9954269661874997, -0.809375989984104, -0.862153894785157, -0.8816342373963936","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
u,"1.0375010218216183, -0.9689840025231887, -1.0409078498042563, -0.8724240882637557, 0.7920502572930346, -0.8280996548096349, 0.7773408767313088, 1.1195956785865537, 1.3164720270053292, 1.1399901060181177, 0.9699109603605381, -0.8976093963791054, -1.0065878867218394, -1.1031111683541854, -0.9204194971341543","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
ntbmhl,"1.1442460333045341, -1.167851280756234, -0.9280403325313007, 1.0839344786923326, -1.0873571915200557, -0.8436257288748309, -1.176625898399459, -1.1040896485448635, 1.0541789220382165, -1.0129011246433965, -1.1174963642990272, -1.0239953214680284, -1.0075306725069644, -1.1597675233953468, -1.0016241080471948","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
d04cyt,"1.051928476828129, -1.1198257749887963, -0.9440941562420191, 1.1218138804220938, 0.9491742439667418, -1.060402012063711, -1.036468740719532, -1.157199252215971, -0.9337333886483752, 0.6386048437778766, -0.7663111554074548, 1.0834258132620844, 1.226636525294012, -1.0861271081533406, 1.1061420409549294","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
0jy9349e,"0.8890736956767457, 1.2847568971196381, -0.8831645004502459, -1.0089143309108142, 1.2245845465553784, 0.7696477742501905, 1.0441491751381577, -1.0042706852411005, 1.1231045615405402, 1.1970069442487854, -1.1801534776204026, 0.8218913790357101, -1.1247946425778426, -1.2722668840945803, 0.7902328463044989","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
tr73pvi,"1.0156471732899013, -1.033271820801063, -1.0004218543365841, -1.1942725601775221, 0.7949603380474056, -1.0368928401262423, 1.069770358908787, 1.0318017896880771, 1.241407010376649, 1.1106562193221787, 1.0225544949595515, -1.005910923895016, -1.1239126909684365, -0.9552853523382577, -1.0150284411854853","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
,"0.8971237430554655, 1.3252454870331902, 0.9577137353762695, 0.9910232776317174, 1.0075106207502487, 0.7225203384685084, 0.9428112818982299, 1.0761547707571413, 0.8688086798727083, 0.9357698184696787, 0.7799006557424724, 1.0293770061726846, 1.0452722195894286, 1.071812324445498, 1.0693466186738143","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
ds3pxwl,"0.9236911104444222, -0.7141462507291361, -1.017248000743903, 1.195555088088841, 1.0805739025102206, -0.9592154967162485, -1.1531374914829922, -0.9329311002571967, -0.8751537460619927, 1.3310860728756024, -0.9313880575065807, 0.8121243384627925, 1.0005116018726246, -1.1011761254647805, 0.8512907765565577","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
hs9ll,"1.2611205285936742, -0.8561920534248151, -0.9283967020119783, 0.7812851018809902, -0.5750300507247337, 1.1510501467249181, -1.4264691430000125, 1.0198883120451212, 1.1675910755605858, -0.7636311773802988, 1.3047511144661317, -1.0811743417521489, 0.9492037205044589, 1.0937694666695494, 0.9530533542176438","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
